latitude,longitude
34.31291,-118.44792
34.29081,-118.50499
34.28867,-118.43624
34.28038,-118.55756
34.27658,-118.37594
34.26724,-118.45746
34.27483,-118.2766
34.26453,-118.41441
34.26009,-118.3238
34.25509,-118.59682
34.25198,-118.28619
34.25337,-118.36126
34.24135,-118.43176
34.23782,-118.52989
34.2387,-118.47835
34.22901,-118.3527
34.2243,-118.4447
34.21055,-118.63643
34.21031,-118.57589
34.20924,-118.60059
34.18963,-118.39043
34.20036,-118.46222
34.19964,-118.53922
34.19291,-118.49327
34.16703,-118.60492
34.15393,-118.50189
34.15546,-118.54791
34.15213,-118.43879
34.16372,-118.39643
34.16666,-118.35849
34.12963,-118.29415
34.16067,-118.35766
34.13716,-118.38541
34.15038,-118.35701
34.12193,-118.26073
34.12441,-118.33917
34.13517,-118.20529
34.13879,-118.35156
34.11795,-118.23174
34.07258,-118.53546
34.08474,-118.48562
34.09885,-118.46046
34.09169,-118.56801
34.09476,-118.51124
34.11188,-118.18771
34.10006,-118.35315
34.09951,-118.21643
34.09568,-118.27028
34.09223,-118.23757
34.10193,-118.30461
34.08119,-118.2054
34.08163,-118.1777
34.09219,-118.29271
34.09446,-118.30503
34.08182,-118.25425
34.08276,-118.33482
34.07707,-118.23955
34.06395,-118.26521
34.06612,-118.43776
34.06999,-118.3285
34.04152,-118.23343
34.07052,-118.2719
34.07121,-118.37308
34.0685,-118.29545
34.0697,-118.3557
34.0678,-118.16972
34.0678,-118.25198
34.05935,-118.35348
34.05734,-118.27222
34.06156,-118.24124
34.05471,-118.30439
34.0388,-118.20575
34.05265,-118.41941
34.05697,-118.37524
34.046,-118.25662
34.054,-118.32517
34.04941,-118.35382
34.04099,-118.4091
34.04472,-118.39456
34.04952,-118.37843
34.04586,-118.28065
34.0471,-118.24157
34.04406,-118.3246
34.04373,-118.30473
34.04344,-118.33483
34.04246,-118.38178
34.0427,-118.34226
34.03848,-118.35586
34.03596,-118.42853
34.03863,-118.37168
34.03626,-118.38708
34.03575,-118.30731
34.03581,-118.33293
34.03608,-118.34272
34.02816,-118.27799
34.03269,-118.38319
34.01322,-118.43699
34.02922,-118.30244
34.02343,-118.41275
34.02302,-118.33579
34.02896,-118.36295
34.02642,-118.34968
34.01867,-118.29812
34.02433,-118.32275
34.0164,-118.25835
34.01476,-118.3564
34.00597,-118.32448
34.00036,-118.25156
33.99992,-118.29989
33.99961,-118.27432
33.99381,-118.46188
33.98979,-118.42432
33.99935,-118.29801
33.9833,-118.33092
33.97461,-118.26728
33.98172,-118.29798
33.95239,-118.40608
33.97236,-118.46019
33.96081,-118.4467
33.96837,-118.2938
33.9671,-118.31111
33.95383,-118.2823
33.95066,-118.2631
33.95118,-118.30941
33.94029,-118.24149
33.93288,-118.28706
33.93246,-118.26818
33.78409,-118.25425
33.78014,-118.29499
33.73971,-118.25673
34.0654,-118.30042
34.18305,-118.4269
34.05471,-118.36542
34.21459,-118.55112
33.78248,-118.30451
34.05969,-118.34266
34.05944,-118.33451
34.12401,-118.17047
33.7319,-118.29874
34.11285,-118.42363
34.04597,-118.4523
33.97954,-118.4145
33.86621,-118.29472
34.00765,-117.36179
33.99855,-117.33873
33.9874,-117.37952
33.97759,-117.32833
33.97126,-117.36149
33.96756,-117.41233
33.96728,-117.39067
33.95574,-117.44247
33.9424,-117.3373
33.95157,-117.39961
33.94257,-117.46658
33.9451,-117.49042
33.94968,-117.36963
33.93722,-117.50769
33.93603,-117.31682
33.93604,-117.43044
33.93255,-117.37476
33.93263,-117.29407
33.9327,-117.39916
33.92143,-117.45012
33.91715,-117.32433
33.92111,-117.42
33.90316,-117.4103
33.91325,-117.3608
33.9111,-117.48652
33.90725,-117.44256
33.89319,-117.47465
33.88718,-117.32222
38.67779,-121.53562
38.67953,-121.50138
38.67335,-121.49783
38.66769,-121.48119
38.66385,-121.53053
38.66208,-121.54358
38.66402,-121.47115
38.65628,-121.4491
38.65842,-121.4278
38.65965,-121.48088
38.6547,-121.51865
38.6579,-121.46101
38.6501,-121.47
38.65266,-121.50255
38.64929,-121.54272
38.64857,-121.4624
38.64522,-121.43163
38.64415,-121.42178
38.63858,-121.41834
38.63633,-121.51367
38.64359,-121.42638
38.63611,-121.39594
38.63789,-121.43819
38.63266,-121.5298
38.63758,-121.46539
38.63961,-121.46081
38.63206,-121.45215
38.64004,-121.45312
38.62515,-121.49461
38.63251,-121.46348
38.61781,-121.47255
38.62857,-121.43113
38.62613,-121.46342
38.62059,-121.47956
38.61987,-121.44084
38.61573,-121.42612
38.619,-121.4297
38.62182,-121.45209
38.61869,-121.51853
38.61992,-121.46167
38.61012,-121.53161
38.61403,-121.45935
38.60701,-121.42478
38.60937,-121.45179
38.60982,-121.51319
38.61047,-121.50438
38.60991,-121.48338
38.60452,-121.44046
38.59989,-121.48043
38.60296,-121.45718
38.6003,-121.4257
38.59712,-121.43792
38.5947,-121.49376
38.59802,-121.45851
38.59403,-121.48247
38.58861,-121.4324
38.58574,-121.49158
38.58323,-121.48611
38.57679,-121.43132
38.58288,-121.47288
38.5686,-121.44808
38.57643,-121.50901
38.57709,-121.49661
38.57941,-121.47868
38.57701,-121.4697
38.57128,-121.47812
38.56766,-121.41598
38.56816,-121.40523
38.56961,-121.5026
38.55059,-121.49861
38.56657,-121.49149
38.55957,-121.42409
38.55846,-121.51042
38.55485,-121.39292
38.5615,-121.46816
38.551,-121.48123
38.55582,-121.44967
38.555,-121.45834
38.55199,-121.46561
38.54511,-121.43546
38.54881,-121.44702
38.5443,-121.42429
38.54342,-121.40101
38.54374,-121.46299
38.54098,-121.48855
38.51995,-121.5105
38.534,-121.46687
38.53245,-121.47673
38.53557,-121.41792
38.53577,-121.43304
38.53558,-121.44316
38.53616,-121.488
38.52898,-121.52359
38.5291,-121.4897
38.52863,-121.44901
38.52852,-121.4332
38.52839,-121.41652
38.52202,-121.43377
38.51802,-121.37972
38.5183,-121.39785
38.52057,-121.41631
38.52126,-121.47466
38.52323,-121.49018
38.51664,-121.48009
38.51039,-121.49456
38.51466,-121.50341
38.50771,-121.52975
38.50768,-121.41251
38.51009,-121.42153
38.49036,-121.53543
38.50179,-121.49005
38.50256,-121.47778
38.48358,-121.45248
38.47664,-121.48475
38.4877,-121.50943
38.45706,-121.43171
38.56345,-121.47972
38.5434,-121.44799
38.53341,-121.38174
38.51629,-121.40672
38.50683,-121.39062
38.53604,-121.39998
38.5288,-121.3999
38.54561,-121.41555
38.55603,-121.41385
38.67801,-121.54882
38.68198,-121.51665
38.67757,-121.52873
38.66842,-121.50896
32.70266,-117.11748
32.87727,-117.08633
32.58086,-117.07811
32.56508,-116.99105
32.55572,-117.04771
32.54809,-117.08815
32.77337,-117.14573
32.75521,-117.19597
32.7463,-117.20113
32.74016,-117.10127
32.70973,-117.07276
32.69213,-117.04416
33.02512,-117.07295
32.90923,-117.1586
32.74744,-117.16649
32.8285,-117.08152
32.91888,-117.22535
32.79485,-117.14076
32.69451,-117.13744
33.08017,-117.01094
32.96556,-117.12018
32.92371,-117.18392
32.94433,-117.22034
32.82274,-117.13911
32.78226,-117.17735
32.76488,-117.09916
32.76479,-117.11857
32.74603,-117.13043
32.73112,-117.14596
32.73166,-117.19072
32.71391,-117.16059
32.93263,-117.2429
32.96691,-117.15575
32.96268,-117.19344
32.94202,-117.18
32.92912,-117.01344
32.90943,-117.08735
32.87616,-117.22037
32.71988,-117.13127
32.99832,-117.14048
32.97743,-117.07732
32.98332,-117.24327
32.97903,-117.21384
32.97313,-117.24036
32.83932,-117.25471
32.86259,-117.03131
32.93042,-117.09607
32.94831,-117.0877
32.80293,-117.05203
32.80346,-117.23909
32.81637,-117.19483
32.77131,-117.07349
32.74266,-117.06963
32.72067,-117.23619
32.77527,-117.2285
32.77376,-117.25214
32.74686,-117.24622
37.7868,-122.48885
37.78551,-122.47962
37.79742,-122.46643
37.78701,-122.46425
37.77938,-122.4685
37.77798,-122.50793
37.78416,-122.50332
37.7771,-122.49233
37.76893,-122.48296
37.78873,-122.45234
37.78415,-122.45262
37.77812,-122.45288
37.78096,-122.44323
37.79733,-122.44259
37.79863,-122.43074
37.79312,-122.41394
37.80331,-122.43903
37.80233,-122.40547
37.78795,-122.40661
37.78409,-122.41482
37.77861,-122.41908
37.77646,-122.42693
37.77634,-122.43469
37.77392,-122.44547
37.76988,-122.44829
37.77299,-122.43078
37.77114,-122.42592
37.76797,-122.43234
37.76669,-122.45049
37.78733,-122.39115
37.78167,-122.38929
37.77845,-122.40608
37.7692,-122.40338
37.77113,-122.39146
37.81095,-122.36588
37.82438,-122.37096
37.76382,-122.42574
37.76184,-122.43378
37.75378,-122.49547
37.74051,-122.48737
37.72652,-122.47563
37.71962,-122.47942
37.72058,-122.49343
37.75202,-122.47094
37.74793,-122.46372
37.73977,-122.47066
37.75629,-122.44871
37.7503,-122.4504
37.74565,-122.45798
37.78828,-122.416
37.75135,-122.44304
37.7549,-122.42673
37.75865,-122.41443
37.75783,-122.39954
37.75976,-122.38991
37.75002,-122.38324
37.74399,-122.44031
37.71138,-122.43622
37.73943,-122.42955
37.74622,-122.40742
37.73713,-122.42075
37.73277,-122.48004
37.73099,-122.4676
37.72069,-122.46141
37.71375,-122.46741
37.71137,-122.45392
37.72511,-122.46803
37.72789,-122.46299
37.73306,-122.46165
37.73275,-122.45655
37.72746,-122.45637
37.7389,-122.44905
37.71823,-122.41878
37.71097,-122.42009
37.71346,-122.40848
37.7381,-122.37837
37.80143,-122.40019
37.72539,-122.37207
37.71368,-122.38684
37.71962,-122.44309
37.7159,-122.45559
37.73944,-122.40456
37.74111,-122.41469
37.74778,-122.43125
37.74474,-122.39937
37.73311,-122.38988
37.73383,-122.39833
37.72016,-122.39266
37.71095,-122.39955
37.72128,-122.43081
37.72599,-122.4073
37.72693,-122.41809
37.73352,-122.4257
37.72806,-122.43515
37.73002,-122.4465
37.73845,-122.4396
37.78006,-122.43494
37.80595,-122.42703
37.80783,-122.41326
37.78454,-122.42422
37.78613,-122.43002
37.79232,-122.4342
37.78574,-122.43992
37.79449,-122.40657
37.79419,-122.42141
37.8009,-122.40855
37.8004,-122.41759
37.79262,-122.39733
37.76263,-122.46793
37.76097,-122.45631
37.75489,-122.45979
37.76789,-122.44158
37.76441,-122.43857
37.76252,-122.4491
37.75824,-122.43912
37.73627,-122.46606
37.73743,-122.45687
33.99098,-118.30009
32.58367,-117.08419
38.53213,-121.40884
34.0264,-118.37202
34.0464,-118.44813
34.14834,-118.27341
33.94418,-117.48644
