latitude,longitude                                                                                                                             
36.7526215,-109.8472295
36.7552563,-109.3680582
35.9506832,-109.1461416
36.3889115,-109.316317
36.1534278,-109.6853411
36.1701171,-109.4799539
36.3300438,-109.7600217
35.984412,-109.6033735
35.6217526,-109.3752943
35.5760801,-109.7284117
35.7051573,-109.1137412
35.4164983,-109.1802743
35.0870836,-109.3201073
34.5195529,-109.3036715
34.7804394,-109.5695138
34.3155138,-109.2663052
34.111854,-109.2865313
33.9271551,-109.5146032
32.2358444,-109.3276066
32.0420304,-109.545964
32.2867224,-109.9856787
32.2361885,-109.8145738
32.0384375,-109.8463404
31.9582989,-110.3045946
32.200019,-110.2836792
31.8583077,-110.3488921
31.9576604,-110.1522855
31.7988342,-110.0286429
31.693002,-109.4347432
31.4830774,-109.7199421
31.5362981,-109.6025499
31.4446761,-109.4183013
31.3644348,-109.4911064
31.380745,-109.5244977
31.3389499,-109.5503465
31.3532519,-109.5503303
31.5294519,-109.8948529
31.379947,-109.8356632
31.4646753,-110.0397849
31.7189466,-110.2919959
31.6737824,-110.3991268
31.6101997,-110.3092853
31.5071568,-110.3621165
31.5450043,-110.296769
31.5620233,-110.2997864
31.5597818,-110.2836592
31.5575249,-110.2676901
31.5468536,-110.2490685
31.5741144,-110.1933318
31.5432817,-110.2155619
31.5250418,-110.2679189
31.5391977,-110.2777759
31.478861,-110.2729554
31.4740464,-110.2417853
31.4849732,-110.1681517
31.3912782,-110.262153
35.227087,-111.6698017
35.2219514,-111.6419794
35.2217966,-111.6227134
35.2037291,-111.6214308
35.2175661,-111.6056026
35.2275284,-111.5565227
35.1995905,-111.5857273
35.1842267,-111.5562321
35.1950704,-111.6068817
35.1853494,-111.6332344
35.1425948,-111.669667
35.1595142,-111.6194616
35.1818461,-111.6550601
35.1703525,-111.6828522
35.1920671,-111.6793577
35.1853297,-111.6832034
35.2082327,-111.6705249
35.2732616,-111.5397364
35.3071243,-111.3838286
34.8019504,-111.1794127
34.8597709,-111.7246831
34.940454,-111.7447106
35.2369299,-112.203011
36.6928807,-112.1341969
36.9290562,-111.4454122
36.8942802,-111.4759058
35.5699311,-111.7723248
35.0924324,-111.695974
35.7876126,-112.655051
35.3461639,-111.9931236
36.5452151,-111.3261199
36.7493591,-111.0190583
36.0513606,-111.1899102
36.1799997,-111.5543782
35.7381569,-111.0325471
36.1249476,-111.2520342
36.2328305,-112.2253185
35.1967236,-111.8538855
35.2129197,-111.6953705
34.3038564,-111.5611222
34.3326171,-111.1381778
34.2430422,-111.3385901
34.0799111,-111.4297789
34.2901451,-111.2569524
34.1660965,-111.2387537
34.0978185,-111.0155491
33.7754809,-111.0929434
33.452695,-110.9371613
33.3968725,-110.8445546
33.6236514,-110.7161952
33.4138812,-110.765111
33.2947053,-110.7760422
33.1461311,-110.8030259
33.8847663,-110.3394452
33.4885424,-110.4235097
33.301443,-109.9890866
32.9491802,-109.9028859
32.8638683,-109.75446
32.8057813,-109.8012174
32.8303157,-109.7184927
32.8141246,-109.7192896
32.6273007,-109.4307135
32.7156277,-110.0977676
32.8913628,-109.5331779
33.4834297,-109.2829279
32.9929953,-109.3323645
32.7537823,-109.1416554
33.99638,-113.6502748
33.5457773,-113.5653321
34.2001462,-114.1921779
34.1639048,-113.9915322
33.6525458,-113.9500259
33.8421404,-114.1609983
33.7992196,-114.2765486
33.5623754,-114.2025444
33.184794,-114.6172497
34.1504951,-114.2903545
33.8749524,-114.3598873
33.2826148,-114.4150792
33.7128794,-111.5743081
33.7535864,-111.7538552
33.7346108,-111.6804374
33.8175437,-111.9168671
33.8615277,-111.938807
33.9760855,-112.7494299
33.6577414,-112.3366887
33.6569045,-112.362634
33.6772529,-112.3904639
33.6746354,-112.3658563
33.6751948,-112.3382757
33.8241902,-113.0044501
33.6767067,-112.7240487
33.6874823,-112.3771475
33.6907306,-112.3477499
33.6759453,-112.4169856
33.6607653,-112.4269715
33.6454883,-112.4432741
33.6463218,-112.4265743
33.6527184,-112.4037208
33.6641908,-112.3937125
33.6438075,-112.3838942
33.6451281,-112.3676447
33.7031905,-112.3063617
33.7107807,-112.3333009
33.7377243,-112.331158
33.8465746,-112.3603255
33.7485027,-112.3190631
33.7675559,-112.3036934
33.7097997,-112.3875564
33.8643039,-112.5381576
33.6917028,-112.4962657
33.7565722,-112.5578347
33.3162347,-113.0618727
33.3568036,-112.7756801
33.4524436,-112.5356941
33.3845494,-112.5164544
33.448367,-112.4930588
33.4217311,-112.4953171
33.4273116,-112.5456874
33.4266011,-112.5727511
33.4208764,-112.6071597
33.3840036,-112.6293502
33.4838138,-112.5029196
33.4947209,-112.4843023
33.5419142,-112.5780922
33.5421899,-112.7460201
33.3850892,-112.5817884
33.3707199,-112.582303
33.6318859,-112.3316377
33.6197635,-112.3143932
33.6178907,-112.3353713
33.612051,-112.3261717
33.60171,-112.3203341
33.6016684,-112.3110112
33.4989522,-112.3594703
33.5323654,-112.3264904
33.5013997,-112.3261467
33.4834525,-112.325033
33.4723401,-112.3316542
33.471398,-112.4375771
33.4866763,-112.4004935
33.4857395,-112.3677102
33.4847062,-112.3482487
33.4137948,-112.3997843
33.6315885,-112.4181095
33.6314831,-112.4017435
33.6344581,-112.3676149
33.6311855,-112.3506834
33.602425,-112.432075
33.6183909,-112.40273
33.6117732,-112.3839564
33.6165068,-112.3678926
33.6163866,-112.3507002
33.5877401,-112.4030248
33.6022107,-112.3851425
33.5876988,-112.3850313
33.5955848,-112.361302
33.6019505,-112.3378089
33.601576,-112.329193
33.5875997,-112.3173497
33.5727973,-112.333106
33.5659078,-112.4012635
33.5301537,-112.4231769
33.5295927,-112.3500769
33.5133669,-112.3503455
33.4688752,-112.3538833
33.4282146,-112.4009683
33.4283671,-112.4267914
33.4429158,-112.4181311
33.4431709,-112.3920848
33.4557236,-112.4013721
33.4701401,-112.4005312
33.5006201,-112.3984667
33.488963,-112.4517571
33.4525456,-112.4412605
33.4048935,-112.4176023
33.6193732,-112.4460019
33.6162951,-112.4324134
33.6315728,-112.4309035
33.6311366,-112.4468752
33.4539858,-112.3587089
33.468442,-112.3667229
33.5359445,-112.3736454
33.4461284,-112.3388821
33.4414474,-112.3633791
33.432742,-112.3495978
33.4264916,-112.3443359
33.6103118,-112.2784919
33.628581,-112.2828839
33.6233312,-112.2981718
33.6251239,-112.2657735
33.6235625,-112.2284638
33.6032519,-112.2114133
33.631369,-112.2099467
33.6029139,-112.2289092
33.6185011,-112.2129207
33.6307547,-112.2452363
33.6164861,-112.2476616
33.6033854,-112.260685
33.6010767,-112.2466222
33.5916464,-112.3045197
33.5727181,-112.3050618
33.5855768,-112.2958744
33.5901306,-112.2765983
33.5726345,-112.2798313
33.588797,-112.2115599
33.5740472,-112.2472931
33.5726323,-112.2661232
33.5884666,-112.2289674
33.5737302,-112.228584
33.5857869,-112.255389
33.5892199,-112.2456888
33.5742426,-112.215934
33.5743756,-112.2072845
33.4994539,-112.280234
33.5015352,-112.2507274
33.5015368,-112.2420807
33.4869963,-112.2508164
33.4870407,-112.2421267
33.499953,-112.3008303
33.4956865,-112.2640759
33.4706714,-112.2638912
33.4760517,-112.2464894
33.4896483,-112.301829
33.4807297,-112.3036975
33.486432,-112.2812848
33.4664637,-112.3169254
33.4696274,-112.298403
33.4702087,-112.2812088
33.4495644,-112.3224705
33.4424851,-112.3151158
33.4504244,-112.292708
33.4687756,-112.2466002
33.4097505,-112.2633343
33.4292554,-112.246943
33.4031172,-112.2497615
33.3968167,-112.2906886
33.4006324,-112.3294874
33.4318212,-112.2960227
33.4239556,-112.2988703
33.4281516,-112.3204026
33.4137343,-112.280944
33.4283505,-112.2810476
33.4483717,-112.2605075
33.5745857,-112.1946101
33.574718,-112.1775505
33.5587571,-112.1781458
33.5747161,-112.160306
33.5603104,-112.1603196
33.56024,-112.1883998
33.5600972,-112.1967543
33.5457803,-112.1643912
33.5457875,-112.1558536
33.5457957,-112.1774088
33.5456908,-112.1945977
33.5453624,-112.2117335
